new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
3475;516;лэп;(лэп).от.ьн.ъ;лэпотьнъ;2/a;;776
3476;516;лэп;(лэп).ъ;лэпъ;2/a;;776
3477;516;лэп;(лэп).ьств.ов.а.т.и;лэпьствовати;6;;776
3478;484;лэз;(лэз).т.в.иц.а;лэствица;2/f;;662
3479;521;лэс;(лэс).ъ;лэсъ;2/m;;
3480;522;лэт;(лэт).о;лэто;2/n;;
3483;523;лэт;(лэт).ь;лэть;1/f;;
3484;522;лэт;(лэт).ьн.ъ;лэтьнъ;2/a;;
3485;524;лэх;(лэх).а;лэха;2/f;;
3486;519;лэч;(лэч).ьб.а;лэчьба;2/f;;
3487;525;лядв;(лядв).ьЁ.я;лядвиЯ;2/f;;
3488;525;лядв;(лядв).ьЁ.ьн.ъ;лядвиинъ;2/a;;
3489;482;ляж;(ляж).аЁ.а;ляжаА;2/f;;827
3490;526;ляц;(ляц).а.т.и;ляцати;3;;695
3491;536;маз;(маз).а.т.и;мазати;3;;
3508;538;мал;(мал).ъ;малъ;2/a;;
3509;538;мал;(мал).ьч.ьк.ъ;мальчькъ;2/a;;
3510;536;маз;(маз).т.л.ин.а;маслина;2/f;;
3511;536;маз;(маз).т.л.ин.ьн.ъ;маслиньнъ;2/a;;
3512;536;маз;(маз).т.л.о;масло;2/n;;
3513;536;маз;(маз).т.и.т.и;мастити;1;;
3514;536;маз;(маз).т.и.т.ъ;маститъ;2/a;;
3515;536;маз;(маз).т.ь;масть;1/f;;
3516;540;мат;(мат).еР.ь;матеРь;2/a;;
3517;540;мат;(мат).ер.ьН.ь;матерьНь;2/a;;
3518;541;мат;(мат).ер.ьств.о;матерьство;2/n;;
3519;540;мат;(мат).и;мати;0/f;;
3520;540;мат;(мат).иц.а;матица;2/f;;
3521;544;меЖ;(меЖ).а;меЖа;2/f;;
3531;543;мед;(мед).ъ;медъ;2/m;;
3534;545;мет;(мет).а.т.и;метати;3°;;661, 669
3535;546;меч;(меч).ь;мечь;2/m;;
3537;549;мил;(мил).ов.а.т.и;миловати;6;;
3546;549;мил;(мил).ост.ив.ъ;милостивъ;2/a;;
3547;549;мил;(мил).ост.ив.ьн.ъ;милостивьнъ;2/a;;
3548;549;мил;(мил).ост.ыН.и;милостыНи;2/f*;;
3549;549;мил;(мил).ост.ь;милость;1/f;;
3550;549;мил;(мил).ост.ьн.ъ;милостьнъ;2/a;;
3551;549;мил;(мил).ъ;милъ;2/a;;
3565;547;ми;(ми).н.й.т.и;минйти;5;;
3566;547;ми;(ми).н.ов.а.т.и;миновати;6;;
3571;551;мир;(мир).ъ;миръ;2/m;;
3572;551;мир;(мир).ьн.ъ;мирьнъ;2/a;;
3573;551;мир;(мир).ьск.ъ;мирьскъ;2/a;;
3574;552;мис;(мис).а;миса;2/f;;
3576;599;мйд;(мйд).и.т.и;мйдити;1;;
3577;600;мйдр;(мйдр).и.т.и;мйдрити;1;;
3578;600;мйдр;(мйдр).ов.а.н.ьЁ.е;мйдрованиЕ;2/n;;
3579;600;мйдр;(мйдр).ов.а.т.и;мйдровати;6;;
3580;600;мйдр;(мйдр).ост.ь;мйдрость;1/f;;
3581;600;мйдр;(мйдр).ъ;мйдръ;2/a;;
3582;600;мйдр;(мйдр).ьств.о;мйдрьство;2/n;;
