root_number;root_form;mphl;norm;par_index;class;extent;reference
369;коР;по.(коР).ен.ьЁ.е;покоРЕниЕ;2/n;n;;657
398;ков;по.(ков).а.т.и;поковати;3o;v;;
401;коЁ;по.(коЁ).ь;покои;2/m;n;;653
401;коЁ;по.(коЁ).ьн.ъ;покоинъ;2/a;a;;653
401;коЁ;по.(коЁ).и.т.и;покоити;1;v;;653
408;кон;по.(кон).ь;поконь;1/m;n;;
369;кор;по.(кор).и.т.и;покорити;1;v;;657
438;кров;по.(кров).и.т.еЛ.ь;покровитеЛь;2/m+;n;;679, 710
438;кров;по.(кров).ищ.е;покровище;2/n;n;;679, 710
438;кров;по.(кров).ъ;покровъ;2/m;n;;679, 710
440;кроп;по.(кроп).и.т.и;покропити;1;v;;
438;крыв;по.(крыв).а.т.и;покрывати;7;v;;679, 710
438;кры;по.(кры).т.и;покрыти;4h*%);v;;679, 710
462;кус;по.(кус).и.т.и;покусити;1;v;;
462;куш;по.(куш).а.т.и;покушати;7;v;;
470;кыв;по.(кыв).а.н.ьЁ.е;покываниЕ;2/n;n;;711
470;кыв;по.(кыв).а.т.и;покывати;7;v;;711
470;кы;по.(кы).н.ов.ен.ьЁ.е;покыновениЕ;2/n;n;;711
693;пол;(пол).а;пола;2/f;n;;779
482;лаг;по.(лаг).а.т.и;полагати;7;v;;827
694;полат;((полат)).а;полата;2/f;n;;
490;лет;по.(лет).э.т.и;полетэти;2;v;;
