id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
6149;1071;четврь;((четврь)).т.ък.ъ;четврьтъкъ;2/m;n;;62;;
6148;1071;четврь;((четврь)).т.ъ;четврьтъ;2/a;a;;62;;
6147;1071;четвор;((четвор)).ъ;четворъ;2/a;a;;62;;
6146;1071;четвор;((четвор)).иц.а;четворица;2/f;n;;62;;
6145;1069;чес;(чес).а.т.и;чесати;3;v;;;;
6142;1067;чел҄ад;((чел҄ад)).ь;чел҄ꙗдь;1/f;n;;;;
6143;1068;чел҄уст;((чел҄уст)).ь;чел҄юсть;1/f;n;;;;
6144;1066;чел;(чел).о;чело;2/n;n;;;;
6137;1061;ча;(чаi̯).ем.ьн.ъ;чаѥмьнъ;2/a;a;;;;
6136;1061;ча;(чаi̯).а.т.и;чаꙗти;3;v;;;;
6135;1061;ча;(чаi̯).а.н.ьj.е;чаꙗниѥ;2/n;n;;;;
6141;1064;чаш;(чаш).а;чаша;2/f;n;;;;
6140;1063;час;(час).ьн.ъ;часьнъ;2/a;a;;;;
6139;1063;час;(час).ъ;часъ;2/m;n;;;;
6138;1062;чар;(чар).и;чари;2/m;n;;;;
6134;1060;цѧт;(цѧт).а;цѧта;2/f;n;;;;
6133;1059;цѣщ;(цѣст).и.т.и;цѣстити;1;v;;;;
6124;1058;цѣс;(цѣс).ар҄.ев.ъ;цѣсар҄ѥвъ;2/a;a;;;;
6123;1058;цѣс;(цѣс).ар҄.ев.а.т.и;цѣсар҄ѥвати;6;v;;;;
6132;1058;цѣс;(цѣс).ар҄.ьств.ов.а.т.и;цѣсар҄ьствовати;6;v;;;;
6131;1058;цѣс;(цѣс).ар҄.ьств.о;цѣсар҄ьство;2/n;n;;;;
6130;1058;цѣс;(цѣс).ар҄.ьств.ьj.е;цѣсар҄ьствиѥ;2/n;n;;;;
6129;1058;цѣс;(цѣс).ар҄.ьск.ъ;цѣсар҄ьскъ;2/a;a;;;;
6126;1058;цѣс;(цѣс).ар҄.ь;цѣсар҄ь;2/a;a;;;;
6125;1058;цѣс;(цѣс).ар҄.ь;цѣсар҄ь;2/m*;n;;;;
6128;1058;цѣс;(цѣс).ар҄.иц.а;цѣсар҄ица;2/f;n;;;;
6127;1058;цѣс;(цѣс).ар҄.и.т.и;цѣсар҄ити;1;v;;;;
6122;1055;цѣн;(цѣн).и.т.и;цѣнити;1;v;;;;
6121;1055;цѣн;(цѣн).а;цѣна;2/f;n;;;;
6108;1054;цѣл҄;(цѣл҄).ен.ьj.е;цѣл҄ѥниѥ;2/n;n;;;;
6120;1054;цѣл;(цѣл).ѣ.т.и;цѣлѣти;7;v;;;;
6119;1054;цѣл;(цѣл).ьб.ьн.ъ;цѣльбьнъ;2/a;a;;;;
6118;1054;цѣл;(цѣл).ьб.а;цѣльба;2/f;n;;;;
6117;1054;цѣл;(цѣл).ы;цѣлы;0/f;n;;;;
6116;1054;цѣл;(цѣл).ъв.ьн.ъ;цѣлъвьнъ;2/a;a;;;;
6115;1054;цѣл;(цѣл).ъ;цѣлъ;2/a;a;;;;
6114;1054;цѣл;(цѣл).ов.а.т.и;цѣловати;6;v;;;;
6113;1054;цѣл;(цѣл).ов.а.н.ьj.е;цѣлованиѥ;2/n;n;;;;
6112;1054;цѣл;(цѣл).и.т.и;цѣлити;1;v;;;;
6111;1054;цѣл;(цѣл).и.т.ел҄.ьн.ъ;цѣлител҄ьнъ;2/a;a;;;;
6110;1054;цѣл;(цѣл).и.т.ел҄.ь;цѣлител҄ь;2/m*;n;;;;
6109;1052;цѣв;(цѣв).ьн.иц.а;цѣвьница;2/f;n;;;;
6107;1051;црьк;(црьк).ы;црькы;0/f;n;;62;;
6106;1051;црьк;(црьк).ъв.ьн.ъ;црькъвьнъ;2/a;a;;62;;
6105;1051;црьк;(црьк).ъв.ищ.ьн.ъ;црькъвищьнъ;2/a;a;;62;;
6104;1051;црьк;(црьк).ъв.ищ.е;црькъвище;2/n;n;;62;;
6103;1051;црьк;(црьк).ъв.иц.а;црькъвица;2/f;n;;62;;
6102;1050;цвѣт;(цвѣт).ьч.ѣн.ъ;цвѣтьчанъ;2/a;a;;62; 676;
6101;1050;цвѣт;(цвѣт).ьц.ь;цвѣтьць;2/m;n;;62; 676;
6100;1050;цвѣт;(цвѣт).ьн.ъ;цвѣтьнъ;2/a;a;;62; 676;
6099;1050;цвѣт;(цвѣт).ъ;цвѣтъ;2/m;n;;62; 676;
6098;1050;цвѣт;(цвѣт).и.л.о;цвѣтило;2/n;n;;62; 676;
6097;1050;цвит;(цвит).т.и;цвисти;4c*(;v;;62; 676;
5803;1049;хѫдож;((хѫдож)).ьств.о;хѫдожьство;2/n;n;;;;
5802;1049;хѫдож;((хѫдож)).ьств.ьj.е;хѫдожьствиѥ;2/n;n;;;;
5801;1049;хѫдож;((хѫдож)).ьн.ик.ъ;хѫдожьникъ;2/m;n;;;;
6096;1048;хыщ;(хыщ).ьн.ик.ъ;хыщьникъ;2/m;n;;;;
6095;1048;хыщ;(хыщ).ен.ьj.е;хыщениѥ;2/n;n;;;;
6094;1048;хыт;(хыт).р.ьц.ь;хытрьць;2/m;n;;;;
